Customer ID,Sales,Quantity,Discount,Profit,Number of Orders,Cluster
AA-10315,5563.56,30,0.09090909090909091,-362.8825000000002,5,3
AA-10375,1056.39,41,0.08000000000000002,277.3824,9,3
AA-10480,1790.512,36,0.016666666666666666,435.82739999999995,4,3
AA-10645,5086.9349999999995,64,0.06388888888888888,857.8033,6,1
AB-10015,886.156,13,0.06666666666666667,129.34650000000002,3,3
AB-10060,7755.62,56,0.044444444444444446,2054.5884999999994,8,2
AB-10105,14473.571,73,0.24,5444.8054999999995,10,2
AB-10150,966.71,37,0.13333333333333333,313.65970000000004,5,3
AB-10165,1215.022,54,0.13125,262.7301,10,1
AB-10255,914.5319999999999,39,0.1,264.5675,9,3
AB-10600,1515.862,38,0.375,-274.96040000000016,4,0
AC-10420,925.8000000000001,17,0.32,-62.13420000000007,3,0
AC-10450,5527.846,43,0.1888888888888889,1366.0097999999998,7,1
AC-10615,2537.686,59,0.1111111111111111,298.82730000000004,5,3
AC-10660,657.316,16,0.18333333333333335,-28.700400000000013,5,0
AD-10180,6106.88,40,0.05833333333333333,1869.9294000000002,8,2
AF-10870,2052.908,51,0.2,317.9712,7,1
AF-10885,861.565,37,0.2571428571428571,-163.11749999999995,4,0
AG-10270,2720.386,78,0.022222222222222223,792.4822999999999,9,1
AG-10300,367.548,16,0.08,59.28839999999999,4,3
AG-10330,660.972,47,0.23333333333333334,-5.137099999999975,5,0
AG-10390,200.945,33,0.22499999999999998,69.2784,5,0
AG-10495,2356.855,93,0.20476190476190476,295.6668000000001,8,1
AG-10525,1455.038,33,0.15555555555555556,-152.76130000000003,4,3
AG-10675,3489.0396,54,0.16133333333333333,-246.42570000000003,7,1
AG-10765,170.584,20,0.45999999999999996,-8.431000000000033,4,0
AG-10900,4510.7970000000005,92,0.16666666666666666,343.6823999999998,10,1
AH-10030,1744.7,54,0.09090909090909091,365.2151999999999,7,3
AH-10075,3250.337,75,0.135,281.1889999999999,10,1
AH-10120,1735.5140000000001,65,0.23750000000000002,-2.314600000000066,7,1
AH-10195,1587.452,28,0.35,-378.55089999999984,4,0
AH-10210,4805.344,53,0.09230769230769233,1308.5546,9,1
AH-10465,2495.3916,35,0.14,-196.12010000000024,5,3
AH-10585,738.504,17,0.12000000000000002,83.96300000000002,4,3
AH-10690,7888.294,102,0.21739130434782608,1298.0165999999995,12,2
AI-10855,4375.786,72,0.07222222222222223,867.7271000000001,10,1
AJ-10780,4867.344,62,0.08666666666666667,150.71299999999974,7,1
AJ-10795,4501.391,88,0.08333333333333333,1158.7064,7,1
AJ-10945,1839.24,40,0.04,521.1351999999999,7,3
AJ-10960,629.2479999999999,22,0.04,60.42649999999998,3,3
AM-10360,814.012,48,0.125,194.98780000000002,5,3
AM-10705,5664.022,81,0.06363636363636363,1085.7325999999998,8,1
AO-10810,161.28,2,0.2,12.095999999999997,1,0
AP-10720,1638.554,85,0.1631578947368421,285.7887999999999,8,1
AP-10915,3323.556,102,0.0935483870967742,579.3113,10,1
AR-10345,1073.354,21,0.18571428571428572,-215.9722000000001,6,0
AR-10405,2236.1279999999997,29,0.09999999999999999,-98.76459999999983,5,3
AR-10510,264.86400000000003,33,0.21428571428571427,43.66949999999999,5,0
AR-10540,6608.448,33,0.06666666666666668,2884.6207999999997,6,2
AR-10570,88.15,6,0.0,32.632999999999996,1,3
AR-10825,4523.336,54,0.07692307692307693,494.83520000000004,8,1
AS-10045,3050.692,48,0.355,-253.57460000000026,7,0
AS-10090,3255.3100000000004,81,0.18,64.53740000000002,9,1
AS-10135,58.82,9,0.06666666666666667,21.8496,2,3
AS-10225,4260.784,41,0.06153846153846154,719.7751,5,3
AS-10240,584.6080000000001,39,0.2692307692307692,33.715799999999966,7,0
AS-10285,3214.236,39,0.225,354.6276,6,0
AS-10630,833.398,34,0.18333333333333335,136.49189999999996,7,0
AT-10435,1171.814,28,0.19999999999999998,100.8768,6,0
AT-10735,3831.8639999999996,60,0.08750000000000001,974.1070000000001,10,1
AW-10840,649.3760000000001,24,0.2,65.7725,4,0
AW-10930,2852.9680000000003,68,0.30625,-104.54860000000019,7,0
AY-10555,497.014,34,0.1,103.34989999999999,4,3
AZ-10750,1622.018,40,0.125,154.95029999999997,6,3
BB-10990,744.34,26,0.2,11.583899999999959,5,0
BB-11545,6765.728,83,0.195,1015.0749999999995,9,1
BC-11125,2933.6760000000004,60,0.1111111111111111,251.59740000000002,9,1
BD-11320,5718.521,75,0.07894736842105263,1094.5036999999998,12,1
BD-11500,4411.243,49,0.135,1142.1225000000002,6,1
BD-11560,320.54,11,0.0,116.714,2,3
BD-11605,3332.8709999999996,84,0.06590909090909092,655.7102999999998,9,1
BD-11620,1538.1100000000001,27,0.17500000000000002,206.75689999999994,6,3
BD-11635,582.6460000000001,19,0.1,141.534,3,3
BD-11725,1526.5,29,0.02,333.9791,6,3
BD-11770,658.466,21,0.12000000000000002,141.26499999999996,6,3
BE-11335,4204.6759999999995,35,0.022222222222222223,1487.7739000000001,5,3
BE-11410,2261.438,19,0.16,755.9150999999997,5,3
BE-11455,1727.652,40,0.14615384615384616,139.2007999999999,6,3
BF-10975,599.798,38,0.14615384615384613,227.43839999999997,7,3
BF-11005,1333.88,26,0.18,-291.3811000000001,4,0
BF-11020,2888.506,78,0.2571428571428572,302.02,8,1
BF-11080,272.95,29,0.0,110.92719999999998,3,3
BF-11170,8430.144,146,0.1108108108108108,1980.3261,13,2
BF-11215,1585.162,48,0.05,523.2133,4,3
BF-11275,791.99,11,0.15000000000000002,25.87019999999999,3,3
BG-11035,2798.948,35,0.19166666666666665,-711.4274,8,0
BG-11695,1874.1719999999998,24,0.1375,107.5714999999998,6,3
BG-11740,1006.3560000000001,22,0.14285714285714285,119.34789999999995,6,3
BG-18435,609.88,45,0.0,208.6624,5,3
BH-11710,6255.351,97,0.18333333333333335,802.7897999999999,8,1
BK-11260,659.1379999999999,58,0.20625000000000002,-63.76440000000005,6,0
BM-11140,11789.629999999997,64,0.16875,-1659.958100000002,4,1
BM-11575,808.162,22,0.18,95.5816,6,0
BM-11650,7294.185,95,0.08448275862068966,2199.2781,11,2
BM-11785,1338.842,44,0.25,137.74389999999994,10,1
BN-11470,265.296,15,0.16666666666666666,36.61309999999998,4,3
BN-11515,1459.344,79,0.023529411764705882,340.7054,5,3
BO-11350,2682.728,43,0.2333333333333333,278.777,5,0
BO-11425,130.83,7,0.0,59.45219999999999,2,3
BP-11050,983.42,30,0.14285714285714285,209.78300000000002,5,3
BP-11095,3350.874,85,0.1375,702.9641999999999,14,1
BP-11155,1697.861,32,0.0818181818181818,647.3847000000001,6,3
BP-11185,3675.861,69,0.19444444444444445,363.5990999999999,9,1
BP-11230,1181.49,14,0.06666666666666667,-197.26950000000002,5,3
BP-11290,2475.157,51,0.3,-319.0637000000001,7,0
BS-11365,10501.653,39,0.011111111111111112,2616.0644,5,2
BS-11380,3887.834,58,0.27692307692307694,-17.532199999999982,5,0
BS-11590,2454.928,41,0.3,381.7807,6,0
BS-11665,3288.1100000000006,47,0.18181818181818182,238.7367999999999,3,0
BS-11755,2562.382,45,0.13214285714285715,-113.29840000000004,7,3
BS-11800,949.4300000000001,22,0.0,194.0516,2,3
BT-11305,2567.656,33,0.044444444444444446,417.59180000000003,5,3
BT-11395,2186.6130000000003,38,0.15,257.91629999999986,6,3
BT-11440,603.876,16,0.1571428571428571,-77.52560000000003,4,3
BT-11485,415.19599999999997,11,0.06666666666666667,126.86939999999997,2,3
BT-11530,2684.492,44,0.1,409.4983,5,3
